id,name,unit_price,category,img_url,create_at
983203616,莎士雷可鸡肉,25,1,http://fuss10.elemecdn.com/c/15/7285e82e3780985a5f5cf8fb653cajpeg.jpeg,1542809125
984781681,大咧吧,22,2,http://fuss10.elemecdn.com/7/5f/0967e67875f353d57696d186ad2bajpeg.jpeg,1542809125
984779601,黒咧巴,22,1,http://fuss10.elemecdn.com/3/4a/03d3b80c36705597b98095ae14b79jpeg.jpeg,1542809125
984779674,蔓越莓软包,10,1,http://fuss10.elemecdn.com/3/74/4dcac4d6040fd6b069706e4bb805bjpeg.jpeg,1542809125
984786740,枫糖软包,15,1,http://fuss10.elemecdn.com/f/a5/cc0f7f45407355018762be52f686fjpeg.jpeg,1542809125
984782039,奶香蘑菇汤,25,3,http://fuss10.elemecdn.com/2/30/5fb5b7bd68793cb0fb211b4b6a99ejpeg.jpeg,1542809125
984779944,玉米南瓜汤,25,2,http://fuss10.elemecdn.com/d/34/406542adaaef8653c7033710719d2jpeg.jpeg,1542809125
984760100,莫斯科红菜汤,19,2,http://fuss10.elemecdn.com/a/d0/57a5a91aa796e31bc7112e5a2a951jpeg.jpeg,1542809125
984770210,经典考伯沙拉,48,4,http://fuss10.elemecdn.com/2/b6/b5b3c38cf018757eb331ddf84ed2cjpeg.jpeg,1542809125
984786987,三色藜麦健康沙拉,38,3,http://fuss10.elemecdn.com/2/ce/351a585a51f91221f37b05a557a4cjpeg.jpeg,1542809125
984780049,坚果果蔬沙拉,38,3,http://fuss10.elemecdn.com/3/0e/bfecb965db76f178289bbb92cb8c0jpeg.jpeg,1542809125
984774998,俄式拌香鸡,19.0,3,http://fuss10.elemecdn.com/f/21/2c85d80e8465a92215b5af85537a3jpeg.jpeg,1542809125
984791116,俄罗斯红肠,58,5,http://fuss10.elemecdn.com/8/ed/dba84ccf04cccac8ba32905c8bc37jpeg.jpeg,1542809125
984775148,酸黄瓜,19,4,http://fuss10.elemecdn.com/e/ea/82a5824cb88fe4c19c1a0dbb4ce23jpeg.jpeg,1542809125
984760725,罐牛,79,6,http://fuss10.elemecdn.com/3/c2/88297fa7411c2e6f879d232163742jpeg.jpeg,1542809125
984787409,煎莫斯科香肠,62,5,http://fuss10.elemecdn.com/f/57/348ab99290b06d2d65243aa6bb333jpeg.jpeg,1542809125
984780458,黑菌鸡肉饼,59,5,http://fuss10.elemecdn.com/1/81/993121c3fe0ff3e5df8fc7b0c0d56jpeg.jpeg,1542809125
984780413,俄式家常肉饼（猪肉）,48,5,http://fuss10.elemecdn.com/6/61/4994c5fbeb3484b4e0832f4d252e5jpeg.jpeg,1542809125
